"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"Audio1","1","PJ-3240-5A","","","","easyeda2kicad:AUDIO-TH_PJ-3240-5A","https://lcsc.com/product-detail/Audio-Connectors_PJ-3240-5A_C145814.html"
"C1,C2,C3,C4","4","LKDK3601J472MF","","","","easyeda2kicad:CAP-TH_BD22.0-P10.00-D1.0-FD",""
"C5,C6","2","CT4-0805B104K500F3","","","","easyeda2kicad:CAP-TH_L8.5-W5.0-P5.00-D1.2","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-Leaded_100nF-104-10-50V_C84772.html"
"C7,C15","2","2u","","","","Capacitor_THT:C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal","~"
"C8,C14,C16,C22","4","0.1u","","","","Capacitor_THT:C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal","~"
"C9,C13,C18,C21","4","50p","","","","Capacitor_THT:C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal","~"
"C10,C19","2","50u","","","","Capacitor_THT:C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal","~"
"C11,C20","2","100u","","","","Capacitor_THT:C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal","~"
"C12,C17","2","5u","","","","Capacitor_THT:C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal","~"
"D1,D2,D3,D4","4","1N5408_C402216","","","","easyeda2kicad:DO-201AD_BD5.3-L8.4-P12.50-D1.4-RD","https://lcsc.com/product-detail/Diodes-General-Purpose_LGE-1N5408_C402216.html"
"H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13","13","MountingHole_Pad","","Escluso dalla DIBA","","MountingHole:MountingHole_3.5mm_Pad_Via","~"
"J1","1","Conn_01x02","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~"
"J2","1","Conn_01x03","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"J3","1","Conn_01x06","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~"
"Q1,Q2,Q4,Q5,Q6,Q10,Q14,Q15,Q17,Q19,Q20,Q23","12","BD139","","","","easyeda2kicad:TO-126_L7.5-W2.5-P2.3-B","https://lcsc.com/product-detail/Transistors-NPN-PNP_STMicroelectronics_BD139_BD139_C27866.html"
"Q3,Q7,Q8,Q9,Q11,Q16,Q18,Q21,Q22,Q24","10","BD140","","","","easyeda2kicad:TO-126_L7.5-W2.5-P2.3-B","https://lcsc.com/product-detail/Transistors-NPN-PNP_STMicroelectronics_BD140_BD140_C38652.html"
"Q12,Q26","2","TIP36C","","","","easyeda2kicad:TO-247-3_L15.9-W5.1-P5.44-L","https://lcsc.com/product-detail/Transistors-NPN-PNP_STMicroelectronics_TIP36C_STMicroelectronics-TIP36C_C84567.html"
"Q13,Q25","2","TIP35C","","","","easyeda2kicad:TO-247AC-3_L15.8-W5.0-P5.46-L","https://lcsc.com/product-detail/Transistors-NPN-PNP_STMicroelectronics_TIP35C_TIP35C_C41363.html"
"R1,R2","2","MFR100FTE73-5K","","","","easyeda2kicad:RES-TH_BD4.5-L11.5-P15.50-D0.8",""
"R3,R11,R24,R28","4","7.5k","","","","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","~"
"R4,R7,R22,R26","4","10k","","","","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","~"
"R5,R23","2","620","","","","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","~"
"R6,R12,R13,R27,R31,R32","6","100","","","","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","~"
"R8,R25","2","430","","","","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","~"
"R9,R10,R29,R30","4","3.9k","","","","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","~"
"R14,R15,R16,R17,R18,R19,R20,R21,R33,R34,R35,R36,R37,R38,R39,R40","16","CR-L10W1ΩJ","","","","easyeda2kicad:RES-TH_BD9.5-L48.0-P52.00-D0.7","https://lcsc.com/product-detail/Cement-Resistors_1R-1R0-5_C188760.html"
"RJ1","1","RK09712200MC","","","","easyeda2kicad:RES-ADJ-TH_RK09712200MY",""
"SW1","1","KH-6X6X5H-TJ","","","","easyeda2kicad:SW-TH_4P-L6.0-W6.0-P4.50-LS6.5",""
"U1,U2","2","DB301V-3.5-2P-GN","","","","easyeda2kicad:CONN-TH_DB301V-3.5-2P-GN","https://lcsc.com/product-detail/Wire-To-Board-Wire-To-Wire-Connector_DIBO-DB301V-3-5-2P-GN_C695629.html"
